"Name","Value","ARCHIVE","SPONLY","GAMEDLL","CHEAT","USERINFO","NOTIFY","PROTECTED","PRINTABLEONLY","UNLOGGED","NEVER_AS_STRING","REPLICATED","DEMO","DONTRECORD","SERVER_CAN_EXECUTE","CLIENTCMD_CAN_EXECUTE","CLIENTDLL","SS","SS_ADDED",,"Help Text"
"_autosave","cmd",,,,,,,,,,,,,,,,,,,,"Autosave"
"_autosavedangerous","cmd",,,,,,,,,,,,,,,,,,,,"AutoSaveDangerous"
"_bugreporter_restart","cmd",,,,,,,,,,,,,,,,,,,,"Restarts bug reporter .dll"
"_fov","0       ",,,,,,,,,,,,,,,,"CLIENTDLL",,,,"Automates fov command to server."
"_record","cmd",,,,,,,,,,,,,,,,,,,,"Record a demo incrementally."
"_resetgamestats","cmd",,,,,,,,,,,,,,,,,,,,"Erases current game stats and writes out a blank stats file"
"_restart","cmd",,,,,,,,,,,,,,,,,,,,"Shutdown and restart the engine."
"achievement_debug","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,"Turn on achievement debug msgs."
"achievement_disable","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,"Turn off achievements."
"addip","cmd",,,,,,,,,,,,,,,,,,,,"Add an IP address to the ban list."
"adsp_alley_min","122     ",,,,,,,,,,,,,,,,,,,,""
"adsp_courtyard_min","126     ",,,,,,,,,,,,,,,,,,,,""
"adsp_debug","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,""
"adsp_door_height","112     ",,,,,,,,,,,,,,,,,,,,""
"adsp_duct_min","106     ",,,,,,,,,,,,,,,,,,,,""
"adsp_hall_min","110     ",,,,,,,,,,,,,,,,,,,,""
"adsp_low_ceiling","108     ",,,,,,,,,,,,,,,,,,,,""
"adsp_opencourtyard_min","126     ",,,,,,,,,,,,,,,,,,,,""
"adsp_openspace_min","130     ",,,,,,,,,,,,,,,,,,,,""
"adsp_openstreet_min","118     ",,,,,,,,,,,,,,,,,,,,""
"adsp_openwall_min","130     ",,,,,,,,,,,,,,,,,,,,""
"adsp_reset_nodes","cmd",,,,,,,,,,,,,,,,,,,,""
"adsp_room_min","102     ",,,,,,,,,,,,,,,,,,,,""
"adsp_scale_delay_feedback","0       ",,,,,,,,,,,,,,,,,,,,""
"adsp_scale_delay_gain","0       ",,,,,,,,,,,,,,,,,,,,""
"adsp_street_min","118     ",,,,,,,,,,,,,,,,,,,,""
"adsp_tunnel_min","114     ",,,,,,,,,,,,,,,,,,,,""
"adsp_wall_height","128     ",,,,,,,,,,,,,,,,,,,,""
"ai_debug_los","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,"NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'l"
"ai_debug_ragdoll_magnets","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_debug_shoot_positions","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,""
"ai_debug_speech","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_expression_frametime","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,"Maximum frametime to still play background expressions."
"ai_expression_optimization","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,"Disable npc background expressions when you can't see them."
"ai_force_serverside_ragdoll","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_LOS_mode","0       ",,,"GAMEDLL",,,,,,,,"REPLICATED",,,,,,,,,""
"ai_sequence_debug","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_setupbones_debug","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,"Shows that bones that are setup every think"
"ai_shot_bias_max","1       ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,""
"ai_shot_bias_min","-1      ",,,,,,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,""
"ai_show_hull_attacks","0       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"ai_use_visibility_cache","1       ",,,"GAMEDLL",,,,,,,,,,,,,,,,,""
"air_density","cmd",,,,,,,,,,,,,,,,,,,,"Changes the density of air for drag computations."
"alias","cmd",,,,,,,,,,,,,,,,,,,,"Alias a command."
"'-alt1'","cmd",,,,,,,,,,,,,,,,,,,,""
"'+alt1'","cmd",,,,,,,,,,,,,,,,,,,,""
